epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1613.24,0.62575,0.36835,0.83507,0.98004,0.98333,0.98459,0.82171,0.55417,0.33566,0.81186,0.000618875,0.000618875,0.000618875
104,1629.19,0.63203,0.37107,0.8327,0.98593,0.97829,0.98357,0.82385,0.53094,0.33754,0.80604,0.000612687,0.000612687,0.000612687
105,1644.23,0.59934,0.36038,0.83554,0.99279,0.97051,0.98442,0.83392,0.51416,0.32824,0.80329,0.0006065,0.0006065,0.0006065
106,1660.2,0.61869,0.36339,0.83293,0.98002,0.98373,0.9846,0.823,0.52961,0.32638,0.80427,0.000600313,0.000600313,0.000600313
107,1676.01,0.62143,0.36568,0.8358,0.99439,0.96483,0.98292,0.82818,0.53686,0.33018,0.80855,0.000594125,0.000594125,0.000594125
108,1691.64,0.62077,0.36507,0.83273,0.98215,0.9845,0.98462,0.83001,0.50747,0.3212,0.80141,0.000587938,0.000587938,0.000587938
109,1706.76,0.59953,0.35828,0.8338,0.99354,0.96783,0.98446,0.81868,0.52974,0.32245,0.806,0.00058175,0.00058175,0.00058175
110,1722.35,0.61219,0.36315,0.83489,0.99511,0.96515,0.98367,0.82544,0.5298,0.32909,0.80605,0.000575563,0.000575563,0.000575563
111,1737.33,0.60095,0.35906,0.83132,0.98525,0.98267,0.98469,0.82151,0.51907,0.33244,0.80382,0.000569375,0.000569375,0.000569375
112,1753.33,0.61542,0.36991,0.83524,0.98042,0.9864,0.98771,0.82883,0.50535,0.32318,0.80043,0.000563187,0.000563187,0.000563187
113,1768.91,0.61276,0.36098,0.83078,0.99311,0.97587,0.98948,0.82936,0.51263,0.32644,0.80026,0.000557,0.000557,0.000557
114,1784.73,0.60065,0.35319,0.82795,0.98149,0.98123,0.9839,0.83039,0.52926,0.31448,0.80173,0.000550813,0.000550813,0.000550813
