epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,50.8102,0.69699,1.23036,0.94792,0.44622,0.61556,0.44942,0.22638,1.56755,2.59084,1.61549,0.0009664,0.0009664,0.0009664
82,51.374,0.74401,1.0236,0.93028,0.36375,0.5,0.398,0.19509,1.50078,2.65174,1.48935,0.000970461,0.000970461,0.000970461
83,51.8868,0.68596,1.0411,0.94856,0.36375,0.5,0.398,0.19509,1.50078,2.65174,1.48935,0.000974324,0.000974324,0.000974324
84,52.4288,0.7668,1.14144,0.96743,0.55131,0.5,0.55222,0.28744,1.55262,2.54071,1.45961,0.000977989,0.000977989,0.000977989
85,52.9035,0.71307,0.88747,0.92222,0.55131,0.5,0.55222,0.28744,1.55262,2.54071,1.45961,0.000981456,0.000981456,0.000981456
86,53.4454,0.70967,1.10994,0.97916,0.72329,0.66987,0.78667,0.3975,1.70056,2.36876,1.49038,0.000984725,0.000984725,0.000984725
87,53.9128,0.65166,0.92517,0.88752,0.72329,0.66987,0.78667,0.3975,1.70056,2.36876,1.49038,0.000987796,0.000987796,0.000987796
88,54.4345,0.79541,1.00426,1.02361,0.73451,0.70352,0.82536,0.46029,1.54457,2.09058,1.55414,0.000990669,0.000990669,0.000990669
89,54.9597,0.74003,0.95304,0.97672,0.73451,0.70352,0.82536,0.46029,1.54457,2.09058,1.55414,0.000993344,0.000993344,0.000993344
90,55.7732,0.70304,0.91698,0.97384,0.72867,0.68602,0.84917,0.45612,1.18551,1.99076,1.53396,0.000995821,0.000995821,0.000995821
91,56.6612,0.68619,0.91866,0.99322,0.72867,0.68602,0.84917,0.45612,1.18551,1.99076,1.53396,0.0009981,0.0009981,0.0009981
92,57.6644,0.72905,1.03371,0.92372,0.94647,0.5,0.72795,0.42721,1.23038,2.16874,1.4755,0.00100018,0.00100018,0.00100018
93,58.252,0.86033,1.03972,0.96484,0.94647,0.5,0.72795,0.42721,1.23038,2.16874,1.4755,0.00100206,0.00100206,0.00100206
94,58.8158,0.94047,1.00257,1.02629,0.95564,0.5,0.51307,0.30838,1.35891,2.3654,1.45041,0.00100375,0.00100375,0.00100375
95,59.2904,0.7179,0.91704,0.88791,0.95564,0.5,0.51307,0.30838,1.35891,2.3654,1.45041,0.00100524,0.00100524,0.00100524
96,59.8511,0.83281,1.02732,1.00587,0.92653,0.5,0.53238,0.2932,1.48843,2.4385,1.50232,0.00100653,0.00100653,0.00100653
